Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1978","1978","1000 persons","7129.746","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1978","1978","1000 persons","2110.358","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1978","1978","1000 persons","12198.94","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","14413","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1979","1979","1000 persons","7195.405","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1979","1979","1000 persons","7217.597","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1979","1979","1000 persons","2112.711","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1979","1979","1000 persons","12360.531","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","14588.405","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1980","1980","1000 persons","7278.97","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1980","1980","1000 persons","7309.43","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1980","1980","1000 persons","2116.451","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1980","1980","1000 persons","12532.663","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","14777.243","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1981","1981","1000 persons","7371.533","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1981","1981","1000 persons","7405.708","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1981","1981","1000 persons","2121.917","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1981","1981","1000 persons","12716.577","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","14979.205","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1982","1982","1000 persons","7472.574","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1982","1982","1000 persons","7506.629","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1982","1982","1000 persons","2155.317","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1982","1982","1000 persons","12885.748","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 persons","15194.641","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1983","1983","1000 persons","7581.488","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1983","1983","1000 persons","7613.156","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1983","1983","1000 persons","2190.814","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1983","1983","1000 persons","13066.544","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1984","1984","1000 persons","15423.166","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1984","1984","1000 persons","7696.933","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1984","1984","1000 persons","7726.223","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1984","1984","1000 persons","2228.405","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1984","1984","1000 persons","13258.809","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1985","1985","1000 persons","15663.663","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1985","1985","1000 persons","7817.518","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1985","1985","1000 persons","7846.154","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1985","1985","1000 persons","2267.941","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1985","1985","1000 persons","13461.702","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1986","1986","1000 persons","15917.572","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1986","1986","1000 persons","7943.835","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1986","1986","1000 persons","7973.745","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1986","1986","1000 persons","2309.67","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1986","1986","1000 persons","13676.494","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
