Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2008","2008","g/capita/day","18.84","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2009","2009","g/capita/day","18.1","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2010","2010","g/capita/day","19.78","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","2011","g/capita/day","18.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2012","2012","g/capita/day","18.91","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2013","2013","g/capita/day","19.81","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1961","1961","g/capita/day","17.13","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1962","1962","g/capita/day","16.72","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1963","1963","g/capita/day","17","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1964","1964","g/capita/day","17.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1965","1965","g/capita/day","17.51","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1966","1966","g/capita/day","18.54","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1967","1967","g/capita/day","17.33","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1968","1968","g/capita/day","16.85","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1969","1969","g/capita/day","17.58","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1970","1970","g/capita/day","16.64","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1971","1971","g/capita/day","17.48","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1972","1972","g/capita/day","17.61","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1973","1973","g/capita/day","18.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1974","1974","g/capita/day","16.93","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1975","1975","g/capita/day","17.69","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1976","1976","g/capita/day","17.47","Fc","Calculated data"
